                   frame  Start Frame
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene3/ui/touchinLocal (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene3/ui/touchinMulti (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene14/ui/touchinLocal (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene14/ui/touchinMulti (DAT:touchin)
    0.001 ms       misc   Selective/Force Cook Check /renderClient/cam2/autoRotate/null1 (CHOP:null)
    0.003 ms       cook    Propagating changes to other nodes /renderClient/cam2/autoRotate/null1 (CHOP:null)
    0.016 ms  188901 cook    /renderClient/scenes/chopexec1 (DAT:chopexec)
    0.016 ms  188901 cook     /renderClient/scenes/select5 (CHOP:select)
    0.002 ms  188901 cook      /renderClient/serverCtrl/nInit (CHOP:null)
    0.006 ms  188901 cook       /renderClient/serverCtrl/select4 (CHOP:select)
    0.004 ms  188901 cook        /renderClient/serverCtrl/nInits (CHOP:null)
    0.017 ms  188901 cook         /renderClient/serverCtrl/override2 (CHOP:override)
    0.026 ms  188901 cook          /renderClient/serverCtrl/s_init (CHOP:select)
    0.004 ms  188901 cook           /renderClient/serverCtrl/extraCtrlsN (CHOP:null)
    0.017 ms  188901 cook            /renderClient/serverCtrl/switch4 (CHOP:switch)
    0.020 ms  188897 cook             /renderClient/serverCtrl/extraCtrlsIN (CHOP:touchin)
    0.019 ms  188895 cook    /renderClient/stypeIn/oscout3 (CHOP:oscout)
    0.007 ms  188901 cook    /renderClient/videoIO/chopexec1 (DAT:chopexec)
    0.003 ms  188901 cook     /renderClient/serverCtrl/extraCtrls1 (CHOP:null)
    0.016 ms  188901 cook      /renderClient/serverCtrl/s_previz (CHOP:select)
    0.164 ms  188900 cook    /renderClient/videoIO/videodevout8 (TOP:videodevout)
    0.038 ms  178586 cook     /renderClient/videoIO/comp1 (TOP:comp)
    0.003 ms  178584 cook      /renderClient/videoIO/PreViz (TOP:select)
    0.004 ms  178622 cook       /renderClient/out1 (TOP:out)
    0.004 ms  178546 cook        /renderClient/previs/out1 (TOP:out)
    0.031 ms  178546 cook         /renderClient/previs/matte1 (TOP:matte)
    0.004 ms  178546 cook          /renderClient/previs/select6 (TOP:select)
    0.004 ms  188935 cook           /renderClient/arRender/out1 (TOP:null)
    0.038 ms  188935 cook            /renderClient/arRender/math1 (TOP:math)
    0.042 ms  188935 cook             /renderClient/arRender/comp1 (TOP:comp)
    0.129 ms  188935 cook             /renderClient/arRender/render1 (TOP:render)
    0.070 ms  177471 cook             /renderClient/cam1 (COMP:cam)
    0.002 ms  188905 cook             /renderClient/cameraTrack (CHOP:null)
    0.002 ms  188905 cook             /renderClient/delay1 (CHOP:delay)
    0.003 ms  188905 cook             /renderClient/null1 (CHOP:null)
    0.015 ms  188905 cook             /renderClient/switch1 (CHOP:switch)
    0.011 ms  188872 cook             /renderClient/switchLocalorNot (CHOP:switch)
    0.005 ms  188895 cook             /renderClient/selectSyncMiniAnim (CHOP:select)
    0.003 ms  188895 cook             /renderClient/serverCtrl/remoteCam (CHOP:null)
    0.011 ms  188895 cook             /renderClient/serverCtrl/switch5remotecAm (CHOP:switch)
    0.019 ms  188895 cook             /renderClient/serverCtrl/remoteCam1 (CHOP:touchin)
    1.123 ms       render            Prepping Nodes For Render /renderClient/arRender/render1 (TOP:render)
    0.003 ms  188805 cook             /renderClient/scenes/scene22/onOff (CHOP:null)
    0.004 ms  188805 cook             /renderClient/scenes/scene22/onOffAni/out (CHOP:out)
    0.022 ms  188805 cook             /renderClient/scenes/scene22/onOffAni/keyframe (CHOP:keyframe)
    0.003 ms  188801 cook             /renderClient/scenes/scene22/onOffAni/in (CHOP:in)
    0.006 ms  188801 cook             /renderClient/scenes/scene22/math1 (CHOP:math)
    0.008 ms  188801 cook             /renderClient/scenes/scene22/select1 (CHOP:select)
    0.024 ms  188801 cook             /renderClient/scenes/scene22/onOffTimer (CHOP:timer)
    0.003 ms  188805 cook             /renderClient/scenes/scene8/onOff (CHOP:null)
    0.004 ms  188805 cook             /renderClient/scenes/scene8/onOffAni/out (CHOP:out)
    0.025 ms  188805 cook             /renderClient/scenes/scene8/onOffAni/keyframe (CHOP:keyframe)
    0.003 ms  188801 cook             /renderClient/scenes/scene8/onOffAni/in (CHOP:in)
    0.006 ms  188801 cook             /renderClient/scenes/scene8/math1 (CHOP:math)
    0.007 ms  188801 cook             /renderClient/scenes/scene8/select1 (CHOP:select)
    0.020 ms  188802 cook             /renderClient/scenes/scene8/onOffTimer (CHOP:timer)
    0.011 ms       render            Rendering /renderClient/arRender/render1 (TOP:render)
    0.001 ms       render            Sorting Geometries /renderClient/arRender/render1 (TOP:render)
    0.001 ms       render            Updating Camera View /renderClient/arRender/render1 (TOP:render)
    0.058 ms       render            Pre-Render /renderClient/arRender/render1 (TOP:render)
    0.002 ms     1 render            Rendering a group of SOP(s) /renderClient/arRender/render1 (TOP:render)
    0.012 ms       render            Setting Up Material /renderClient/arRender/render1 (TOP:render)
    0.048 ms       gfx            Enabling Phong Shader
    0.003 ms       gfx            Updating General Uniform Buffer
    0.025 ms     1 render            Rendering Primitive Batch(s) /renderClient/arRender/screenMask/out1 (SOP:out)
    0.001 ms       render            Post-Render /renderClient/arRender/render1 (TOP:render)
    0.107 ms  188935 cook             /renderClient/arRender/renderpass1 (TOP:renderpass)
    0.004 ms       render            Prepping Nodes For Render /renderClient/arRender/renderpass1 (TOP:renderpass)
    0.006 ms       render            Rendering /renderClient/arRender/renderpass1 (TOP:renderpass)
    0.000 ms       render            Sorting Geometries /renderClient/arRender/renderpass1 (TOP:renderpass)
    0.001 ms       render            Updating Camera View /renderClient/arRender/renderpass1 (TOP:renderpass)
    0.033 ms       render            Pre-Render /renderClient/arRender/renderpass1 (TOP:renderpass)
    0.002 ms     1 render            Rendering a group of SOP(s) /renderClient/arRender/renderpass1 (TOP:renderpass)
    0.003 ms       render            Setting Up Material /renderClient/arRender/renderpass1 (TOP:renderpass)
    0.027 ms       gfx            Enabling Phong Shader
    0.019 ms     1 render            Rendering Primitive Batch(s) /renderClient/arRender/tableSurface/out1 (SOP:out)
    0.001 ms       render            Post-Render /renderClient/arRender/renderpass1 (TOP:renderpass)
    0.102 ms  178520 cook          /renderClient/previs/render1 (TOP:render)
    0.069 ms       render          Prepping Nodes For Render /renderClient/previs/render1 (TOP:render)
    0.019 ms  178520 cook            /renderClient/previs/phong1 (MAT:phong)
    0.051 ms  178520 cook             /renderClient/previs/crop1 (TOP:crop)
    0.006 ms  178520 cook             /renderClient/previs/select5 (TOP:select)
    0.004 ms  188909 cook             /renderClient/screenRender/proj1 (TOP:null)
    0.135 ms  188913 cook             /renderClient/screenRender/render1 (TOP:render)
    0.252 ms       render            Prepping Nodes For Render /renderClient/screenRender/render1 (TOP:render)
    0.008 ms  188909 cook             /renderClient/screenRender/constant6 (MAT:constant)
    0.003 ms  188909 cook             /renderClient/screenRender/screenTexture (TOP:null)
    0.036 ms  188909 cook             /renderClient/screenRender/hsvadj1 (TOP:hsvadj)
    0.029 ms  188909 cook             /renderClient/screenRender/comp7 (TOP:comp)
    0.052 ms  188909 cook             /renderClient/screenRender/fit2 (TOP:fit)
    0.094 ms  188911 cook             /renderClient/screenRender/screenRender (TOP:render)
    0.048 ms  188905 cook             /renderClient/screenRender/screenCam (COMP:cam)
    0.648 ms       render            Prepping Nodes For Render /renderClient/screenRender/screenRender (TOP:render)
    0.054 ms       render            Pre-Render /renderClient/screenRender/screenRender (TOP:render)
    0.001 ms       render            Post-Render /renderClient/screenRender/screenRender (TOP:render)
    0.044 ms       gfx            Generating Mipmaps
    0.005 ms  188905 cook             /renderClient/screenRender/screenGeo/null1 (SOP:null)
    0.163 ms  188905 cook             /renderClient/screenRender/screenGeo/texture1 (SOP:texture)
    0.709 ms       cook            Copying Input SOP Data /renderClient/screenRender/screenGeo/texture1 (SOP:texture)
    0.019 ms       render            Updating SOP's VBO /renderClient/screenRender/screenGeo/texture1 (SOP:texture)
    0.003 ms       render            tesselate
    0.008 ms       render            Rendering /renderClient/screenRender/render1 (TOP:render)
    0.000 ms       render            Sorting Geometries /renderClient/screenRender/render1 (TOP:render)
    0.002 ms       render            Updating Camera View /renderClient/screenRender/render1 (TOP:render)
    0.057 ms       render            Pre-Render /renderClient/screenRender/render1 (TOP:render)
    0.001 ms     1 render            Rendering a group of SOP(s) /renderClient/screenRender/render1 (TOP:render)
    0.027 ms       render            Setting Up Material /renderClient/screenRender/render1 (TOP:render)
    0.021 ms     1 render            Rendering Primitive Batch(s) /renderClient/screenRender/screenGeo/null1 (SOP:null)
    0.001 ms       render            Post-Render /renderClient/screenRender/render1 (TOP:render)
    0.046 ms       gfx            Generating Mipmaps
    0.015 ms  178520 cook            /renderClient/previs/phong2 (MAT:phong)
    0.045 ms  178520 cook             /renderClient/previs/crop2 (TOP:crop)
    0.004 ms  178520 cook             /renderClient/previs/select8 (TOP:select)
    0.003 ms  188909 cook             /renderClient/screenRender/proj2 (TOP:null)
    0.110 ms  188912 cook             /renderClient/screenRender/renderpass5 (TOP:renderpass)
    0.004 ms       render            Prepping Nodes For Render /renderClient/screenRender/renderpass5 (TOP:renderpass)
    0.006 ms       render            Rendering /renderClient/screenRender/renderpass5 (TOP:renderpass)
    0.000 ms       render            Sorting Geometries /renderClient/screenRender/renderpass5 (TOP:renderpass)
    0.001 ms       render            Updating Camera View /renderClient/screenRender/renderpass5 (TOP:renderpass)
    0.028 ms       render            Pre-Render /renderClient/screenRender/renderpass5 (TOP:renderpass)
    0.001 ms     1 render            Rendering a group of SOP(s) /renderClient/screenRender/renderpass5 (TOP:renderpass)
    0.021 ms       render            Setting Up Material /renderClient/screenRender/renderpass5 (TOP:renderpass)
    0.014 ms     1 render            Rendering Primitive Batch(s) /renderClient/screenRender/screenGeo/null1 (SOP:null)
    0.001 ms       render            Post-Render /renderClient/screenRender/renderpass5 (TOP:renderpass)
    0.050 ms       gfx            Generating Mipmaps
    0.017 ms  178520 cook            /renderClient/previs/phong3 (MAT:phong)
    0.044 ms  178520 cook             /renderClient/previs/crop3 (TOP:crop)
    0.005 ms  178520 cook             /renderClient/previs/select9 (TOP:select)
    0.004 ms  188909 cook             /renderClient/screenRender/proj3 (TOP:null)
    0.121 ms  188911 cook             /renderClient/screenRender/renderpass6 (TOP:renderpass)
    0.005 ms       render            Prepping Nodes For Render /renderClient/screenRender/renderpass6 (TOP:renderpass)
    0.008 ms       render            Rendering /renderClient/screenRender/renderpass6 (TOP:renderpass)
    0.000 ms       render            Sorting Geometries /renderClient/screenRender/renderpass6 (TOP:renderpass)
    0.001 ms       render            Updating Camera View /renderClient/screenRender/renderpass6 (TOP:renderpass)
    0.038 ms       render            Pre-Render /renderClient/screenRender/renderpass6 (TOP:renderpass)
    0.002 ms     1 render            Rendering a group of SOP(s) /renderClient/screenRender/renderpass6 (TOP:renderpass)
